date,port_returns
2021-01-19,0.13342153863400646
2021-01-20,0.0029340467546791205
2021-01-21,0.03777205158573054
2021-01-22,0.1801657252556951
2021-01-25,0.17899397048046856
2021-01-26,0.2551251587712148
2021-01-27,1.101274148809164
2021-01-28,-0.4146984913853477
2021-01-29,0.24003923750890122
2021-02-01,-0.06764454941325819
2021-02-02,-0.2914890049724199
2021-02-03,0.07086882932335278
2021-02-04,-0.14488085771392648
2021-02-05,0.03849084643779922
2021-02-08,-0.02298425286825405
2021-02-09,-0.055918109103955387
2021-02-10,0.022589929572737356
